city,date,transportation_type,flow
Belfast,2020-01-13,driving,100
Belfast,2020-01-13,walking,100
Belfast,2020-01-13,transit,100
Belfast,2020-01-14,driving,108.49
Belfast,2020-01-14,walking,116.7
Belfast,2020-01-14,transit,100.2
Belfast,2020-01-15,driving,111.95
Belfast,2020-01-15,walking,123.2
Belfast,2020-01-15,transit,103.68
Belfast,2020-01-16,driving,124.1
Belfast,2020-01-16,walking,127.89
Belfast,2020-01-16,transit,118.45
Belfast,2020-01-17,driving,125.7
Belfast,2020-01-17,walking,147.78
Belfast,2020-01-17,transit,113.7
Belfast,2020-01-18,driving,121.01
Belfast,2020-01-18,walking,179.12
Belfast,2020-01-18,transit,104.21
Belfast,2020-01-19,driving,81.15
Belfast,2020-01-19,walking,93.03
Belfast,2020-01-19,transit,92.71
Belfast,2020-01-20,driving,105.81
Belfast,2020-01-20,walking,121.72
Belfast,2020-01-20,transit,103.94
Belfast,2020-01-21,driving,111.29
Belfast,2020-01-21,walking,127.02
Belfast,2020-01-21,transit,101.94
Belfast,2020-01-22,driving,117.19
Belfast,2020-01-22,walking,128.53
Belfast,2020-01-22,transit,107.15
Belfast,2020-01-23,driving,111.33
Belfast,2020-01-23,walking,120.19
Belfast,2020-01-23,transit,100.33
Belfast,2020-01-24,driving,123.62
Belfast,2020-01-24,walking,152.23
Belfast,2020-01-24,transit,111.23
Belfast,2020-01-25,driving,120.68
Belfast,2020-01-25,walking,165.74
Belfast,2020-01-25,transit,105.68
Belfast,2020-01-26,driving,83.35
Belfast,2020-01-26,walking,94.3
Belfast,2020-01-26,transit,84.43
Belfast,2020-01-27,driving,104.53
Belfast,2020-01-27,walking,112.8
Belfast,2020-01-27,transit,99.4
Belfast,2020-01-28,driving,111.83
Belfast,2020-01-28,walking,111.06
Belfast,2020-01-28,transit,107.55
Belfast,2020-01-29,driving,113.3
Belfast,2020-01-29,walking,131.11
Belfast,2020-01-29,transit,106.08
Belfast,2020-01-30,driving,122.51
Belfast,2020-01-30,walking,135.05
Belfast,2020-01-30,transit,111.97
Belfast,2020-01-31,driving,127.43
Belfast,2020-01-31,walking,150.14
Belfast,2020-01-31,transit,107.49
Belfast,2020-02-01,driving,126.86
Belfast,2020-02-01,walking,190.08
Belfast,2020-02-01,transit,103.54
Belfast,2020-02-02,driving,88.98
Belfast,2020-02-02,walking,100.42
Belfast,2020-02-02,transit,93.65
Belfast,2020-02-03,driving,103.86
Belfast,2020-02-03,walking,107.81
Belfast,2020-02-03,transit,97.73
Belfast,2020-02-04,driving,111.7
Belfast,2020-02-04,walking,119.34
Belfast,2020-02-04,transit,95.79
Belfast,2020-02-05,driving,114.45
Belfast,2020-02-05,walking,133
Belfast,2020-02-05,transit,114.51
Belfast,2020-02-06,driving,115.24
Belfast,2020-02-06,walking,131.19
Belfast,2020-02-06,transit,120.25
Belfast,2020-02-07,driving,123.25
Belfast,2020-02-07,walking,145.62
Belfast,2020-02-07,transit,100.67
Belfast,2020-02-08,driving,116
Belfast,2020-02-08,walking,163.31
Belfast,2020-02-08,transit,95.59
Belfast,2020-02-09,driving,77.55
Belfast,2020-02-09,walking,84.72
Belfast,2020-02-09,transit,90.37
Belfast,2020-02-10,driving,107.16
Belfast,2020-02-10,walking,110.88
Belfast,2020-02-10,transit,109.63
Belfast,2020-02-11,driving,105.29
Belfast,2020-02-11,walking,104.86
Belfast,2020-02-11,transit,100
Belfast,2020-02-12,driving,115.25
Belfast,2020-02-12,walking,130.82
Belfast,2020-02-12,transit,117.98
Belfast,2020-02-13,driving,121.03
Belfast,2020-02-13,walking,137.68
Belfast,2020-02-13,transit,101.4
Belfast,2020-02-14,driving,128.31
Belfast,2020-02-14,walking,174.5
Belfast,2020-02-14,transit,121.59
Belfast,2020-02-15,driving,116.11
Belfast,2020-02-15,walking,180.12
Belfast,2020-02-15,transit,103.54
Belfast,2020-02-16,driving,86.77
Belfast,2020-02-16,walking,110.67
Belfast,2020-02-16,transit,99.2
Belfast,2020-02-17,driving,115.35
Belfast,2020-02-17,walking,140.92
Belfast,2020-02-17,transit,123.33
Belfast,2020-02-18,driving,121.93
Belfast,2020-02-18,walking,149.26
Belfast,2020-02-18,transit,133.29
Belfast,2020-02-19,driving,128.35
Belfast,2020-02-19,walking,155.51
Belfast,2020-02-19,transit,129.68
Belfast,2020-02-20,driving,125.46
Belfast,2020-02-20,walking,154.36
